"T","Time","Sym","C/P","Exp","Strike","Spot","BidAsk","Prop","Score","Orders","Vol","Prems","OI","StockDiff($)","Diff(%)","Sweeps%","Delta","Theta","Ivol","ITM","Change","Flow"
"2024-03-25 15:30:08","6d ago","GE","Puts","Apr 19","170","173.79","3.92","0.48","","13","1.93K","741.69K","3.04K","3.72","2.19","69.23","-0.37","-0.11","32.63","0","-35.41",""
"2024-03-25 14:09:55","6d ago","SQ","Calls","Apr 19","90","83.26","1.76","0.32","","11","3.92K","662.83K","7.43K","6.89","8.28","72.73","0.3","-0.07","46.9","0","-2.56",""
"2024-03-25 12:54:31","6d ago","STLA","Calls","Jan 2026","40","29.45","1.32","1","","5","999.00","139.86K","954.00","10.55","35.82","80","0.28","0","29.11","0","-16.98",""
"2024-03-25 12:00:23","6d ago","ADBE","Calls","Jun 21","550","509.35","19.97","0.36","","5","560.00","1.11M","5.46K","41.38","8.14","0","0.38","-0.18","32.93","0","-16.27",""
"2024-03-25 11:48:16","6d ago","RDDT","Calls","Oct 18","75","51.02","5.65","0.32","","8","699.00","386.95K","0.00","24.03","47.15","87.5","0.36","-0.03","83.8","0","40.71",""
"2024-03-25 11:33:34","6d ago","ZS","Calls","May 17","220","194.68","4.12","1","","5","1.29K","535.85K","3.00K","25.55","13.14","0","0.26","-0.09","40.13","0","-23.03",""
"2024-03-25 10:58:00","6d ago","GTLB","Puts","Sep 20","50","58.31","4.75","0.83","","5","380.00","182.40K","297.00","8.32","16.63","100","-0.26","-0.02","59.02","0","-3.16",""
"2024-03-25 10:44:23","6d ago","PDD","Puts","Jun 21","100","120.07","3.55","0.26","","5","877.00","315.72K","7.85K","20.06","20.06","100","-0.19","-0.05","52.45","0","4.93",""
"2024-03-25 10:12:23","6d ago","RBLX","Calls","Oct 18","47.5","36.68","2.62","1","","5","815.00","214.66K","55.00","10.84","29.58","100","0.35","-0.01","50.68","0","20.23",""
"2024-03-22 15:28:12","9d ago","XLF","Puts","Apr 19","41","41.51","0.34","0.26","","5","16.32K","544.81K","54.66K","0.53","1.28","40","-0.33","-0.01","13.58","0","-49.25",""
"2024-03-22 15:05:12","9d ago","UAL","Calls","May 17","48","46.56","2.41","0.38","","5","1.05K","238.11K","124.00","1.67","3.6","60","0.48","-0.03","39.44","0","19.71",""
"2024-03-22 13:57:11","9d ago","XOM","Calls","May 17","120","113.31","1.15","0.5","","5","1.47K","167.20K","17.27K","6.85","6.06","80","0.25","-0.02","18.79","0","59.74",""
"2024-03-22 13:15:56","9d ago","SOXL","Calls","Mar 28","48","47.37","1.82","0.28","","15","12.37K","1.86M","1.68K","1.33","2.85","53.33","0.48","-0.18","85.89","0","0",""
"2024-03-22 13:14:40","9d ago","SLB","Puts","Jan 2025","52.5","53.83","4.7","0.38","","5","509.00","230.93K","1.80K","1.61","3.06","60","-0.38","-0.01","31.84","0","-11.17",""
"2024-03-22 12:45:48","9d ago","TQQQ","Calls","Mar 28","64","62.47","0.71","0.29","","6","8.94K","624.82K","3.04K","1.58","2.54","66.67","0.34","-0.1","40.61","0","0",""
"2024-03-22 11:23:31","9d ago","LYFT","Calls","Jan 2025","25","20.02","3.32","0.29","","5","943.00","315.40K","6.08K","4.97","24.84","40","0.5","-0.01","64.6","0","-11.88",""
"2024-03-22 10:44:23","9d ago","SLV","Calls","Jan 2025","35","22.66","0.4","0.29","","6","5.59K","225.65K","49.60K","12.34","54.46","83.33","0.13","0","34.19","0","8.75",""
"2024-03-22 10:01:00","9d ago","BA","Calls","May 17","200","191.92","7.25","0.46","","6","2.76K","2.01M","35.47K","8.14","4.24","33.33","0.43","-0.09","33.21","0","-4.83",""
"2024-03-22 09:30:41","9d ago","TSLA","Puts","Jun 21","130","167.42","3.3","0.27","","6","2.04K","689.93K","6.77K","37.18","28.6","33.33","-0.13","-0.05","53.9","0","-29.39",""
"2024-03-21 15:15:50","10d ago","MS","Calls","Jun 21","95","93.27","3.62","0.28","","7","580.00","211.97K","14.17K","1.72","1.84","42.86","0.48","-0.02","22.76","0","8.28",""
"2024-03-21 13:28:46","10d ago","ADM","Calls","Sep 20","65","62.57","3.95","0.31","","5","424.00","169.60K","1.71K","2.43","3.88","100","0.49","-0.01","26.92","0","-6.33",""
