Date, Open, High, Low, Close
03/28/24, 16377.23, 16420.92, 16347.38, 16379.46
03/27/24, 16424.76, 16431.82, 16279.17, 16399.52
03/26/24, 16446.85, 16476.38, 16312.95, 16315.70
03/25/24, 16335.30, 16441.17, 16315.72, 16384.47
03/22/24, 16387.83, 16467.62, 16361.00, 16428.82
03/21/24, 16517.24, 16538.86, 16393.90, 16401.84
03/20/24, 16185.76, 16377.44, 16127.48, 16369.41
03/19/24, 16031.93, 16175.59, 15951.86, 16166.79
03/18/24, 16154.92, 16247.59, 16094.17, 16103.45
03/15/24, 16043.58, 16055.33, 15925.91, 15973.17
03/14/24, 16209.19, 16245.32, 16039.68, 16128.53
03/13/24, 16220.11, 16233.30, 16143.34, 16177.77
03/12/24, 16116.98, 16275.45, 15992.98, 16265.64
03/11/24, 16052.63, 16085.94, 15978.04, 16019.27
03/08/24, 16322.10, 16449.70, 16059.50, 16085.11
03/07/24, 16147.32, 16309.02, 16096.01, 16273.38
03/06/24, 16092.00, 16128.56, 15956.66, 16031.54
03/05/24, 16077.74, 16087.57, 15862.63, 15939.59
03/04/24, 16264.21, 16289.06, 16199.06, 16207.51
03/01/24, 16109.83, 16302.24, 16096.60, 16274.94
02/29/24, 16059.34, 16115.96, 15931.70, 16091.92
02/28/24, 15969.14, 16003.56, 15924.72, 15947.74
02/27/24, 16013.98, 16046.10, 15940.51, 16035.30
02/26/24, 16014.45, 16054.90, 15973.90, 15976.25
02/23/24, 16094.80, 16134.22, 15954.50, 15996.82
02/22/24, 15904.48, 16061.82, 15869.24, 16041.62
02/21/24, 15532.12, 15583.68, 15451.65, 15580.87
02/20/24, 15679.84, 15730.47, 15508.50, 15630.78
02/16/24, 15910.43, 15917.41, 15752.02, 15775.65
02/15/24, 15865.30, 15911.22, 15779.72, 15906.17
02/14/24, 15781.71, 15865.51, 15683.94, 15859.15
02/13/24, 15598.88, 15770.42, 15551.44, 15655.60
02/12/24, 15980.62, 16080.07, 15917.87, 15942.55
02/09/24, 15842.38, 16007.29, 15831.76, 15990.66
02/08/24, 15762.23, 15813.27, 15739.18, 15793.71
02/07/24, 15690.35, 15770.67, 15645.81, 15756.64
02/06/24, 15638.19, 15652.75, 15515.25, 15609.00
02/05/24, 15613.99, 15637.88, 15471.68, 15597.68
02/02/24, 15403.16, 15664.21, 15366.78, 15628.95
02/01/24, 15254.02, 15372.13, 15208.88, 15361.64
01/31/24, 15324.19, 15405.56, 15158.49, 15164.01
01/30/24, 15604.08, 15619.23, 15484.67, 15509.90
01/29/24, 15470.66, 15630.58, 15449.87, 15628.04
01/26/24, 15474.85, 15538.84, 15433.04, 15455.36
01/25/24, 15555.62, 15597.25, 15430.68, 15510.50
01/24/24, 15560.61, 15629.07, 15468.91, 15481.92
01/23/24, 15391.41, 15432.35, 15337.23, 15425.94
01/22/24, 15393.05, 15438.85, 15333.63, 15360.29
01/19/24, 15122.38, 15310.97, 15087.20, 15310.97
01/18/24, 14994.52, 15066.81, 14911.11, 15055.65
01/17/24, 14814.77, 14865.76, 14706.23, 14855.62
01/16/24, 14908.26, 15004.35, 14863.81, 14944.35
01/12/24, 15001.01, 15047.25, 14931.88, 14972.76
01/11/24, 15020.95, 15063.61, 14800.38, 14970.19
01/10/24, 14877.70, 14998.20, 14842.70, 14969.65
01/09/24, 14744.13, 14894.32, 14716.71, 14857.71
01/08/24, 14564.47, 14846.90, 14560.20, 14843.77
01/05/24, 14500.11, 14625.19, 14477.57, 14524.07
01/04/24, 14532.23, 14632.77, 14504.78, 14510.30
01/03/24, 14641.47, 14694.58, 14577.44, 14592.21
01/02/24, 14873.70, 14887.80, 14682.38, 14765.94
12/29/23, 15099.20, 15111.41, 14955.37, 15011.35
12/28/23, 15142.09, 15150.07, 15087.22, 15095.14
12/27/23, 15089.66, 15114.08, 15051.67, 15099.18
12/26/23, 15028.69, 15101.18, 15024.06, 15074.57
12/22/23, 15006.18, 15047.19, 14927.12, 14992.97
12/21/23, 14923.14, 14970.81, 14837.47, 14963.87
12/20/23, 14973.36, 15069.29, 14776.29, 14777.94
12/19/23, 14923.02, 15003.80, 14921.60, 15003.22
12/18/23, 14814.02, 14938.04, 14811.82, 14904.81
12/15/23, 14797.46, 14848.41, 14753.16, 14813.92
12/14/23, 14798.72, 14855.62, 14642.23, 14761.56
12/13/23, 14555.68, 14743.56, 14517.52, 14733.96
12/12/23, 14423.01, 14533.40, 14385.39, 14533.40
12/11/23, 14340.13, 14436.08, 14324.57, 14432.49
12/08/23, 14279.45, 14416.92, 14264.96, 14403.97
12/07/23, 14230.43, 14353.11, 14220.87, 14339.99
12/06/23, 14325.62, 14327.64, 14138.51, 14146.71
12/05/23, 14126.40, 14285.66, 14121.76, 14229.91
12/04/23, 14168.66, 14197.52, 14058.52, 14185.49
12/01/23, 14181.35, 14311.95, 14135.00, 14305.03
11/30/23, 14265.05, 14289.20, 14127.06, 14226.22
11/29/23, 14367.11, 14423.22, 14247.89, 14258.49
11/28/23, 14224.63, 14303.66, 14195.72, 14281.76
11/27/23, 14239.31, 14305.71, 14205.24, 14241.02
11/24/23, 14238.03, 14270.28, 14214.13, 14250.85
11/22/23, 14283.82, 14359.61, 14226.63, 14265.86
11/21/23, 14217.23, 14237.50, 14146.31, 14199.98
11/20/23, 14134.75, 14309.80, 14134.20, 14284.53
11/17/23, 14101.43, 14154.32, 14063.93, 14125.48
11/16/23, 14066.88, 14130.45, 14033.79, 14113.67
11/15/23, 14147.27, 14194.36, 14060.69, 14103.84
11/14/23, 14015.37, 14124.06, 14003.14, 14094.38
11/13/23, 13745.96, 13805.10, 13687.78, 13767.74
11/10/23, 13571.19, 13802.53, 13556.35, 13798.11
11/09/23, 13693.69, 13697.82, 13506.02, 13521.45
11/08/23, 13660.22, 13684.87, 13573.58, 13650.41
11/07/23, 13555.79, 13675.46, 13516.56, 13639.86
11/06/23, 13514.08, 13551.62, 13435.99, 13518.78
11/03/23, 13362.85, 13520.28, 13344.73, 13478.28
11/02/23, 13230.49, 13302.18, 13177.64, 13294.19
11/01/23, 12887.06, 13072.42, 12875.20, 13061.47
10/31/23, 12786.62, 12859.40, 12697.04, 12851.24
10/30/23, 12750.47, 12842.96, 12691.56, 12789.48
10/27/23, 12718.69, 12772.43, 12600.57, 12643.01
10/26/23, 12768.97, 12818.14, 12543.86, 12595.61
10/25/23, 13039.86, 13042.52, 12804.30, 12821.22
10/24/23, 13084.99, 13170.39, 13022.85, 13139.87
10/23/23, 12930.85, 13143.23, 12848.83, 13018.33
10/20/23, 13157.77, 13177.35, 12977.43, 12983.81
10/19/23, 13354.80, 13404.73, 13157.33, 13186.18
10/18/23, 13439.68, 13499.74, 13275.30, 13314.30
10/17/23, 13419.87, 13602.25, 13364.74, 13533.75
10/16/23, 13453.81, 13598.05, 13447.17, 13567.98
10/13/23, 13613.59, 13619.54, 13361.85, 13407.23
10/12/23, 13672.47, 13714.14, 13491.56, 13574.22
10/11/23, 13619.21, 13671.11, 13549.29, 13659.68
10/10/23, 13505.81, 13659.63, 13491.81, 13562.84
10/09/23, 13326.22, 13509.30, 13277.48, 13484.24
10/06/23, 13127.68, 13472.27, 13099.03, 13431.34
10/05/23, 13228.12, 13251.18, 13087.57, 13219.83
10/04/23, 13092.92, 13258.76, 13072.51, 13236.01
10/03/23, 13229.68, 13280.04, 13008.60, 13059.47
10/02/23, 13217.99, 13364.03, 13204.08, 13307.77
09/29/23, 13337.71, 13382.98, 13177.09, 13219.32
