Date, Open, High, Low, Close
03/28/24, 5248.03, 5264.85, 5245.82, 5254.35
03/27/24, 5226.31, 5249.26, 5213.92, 5248.49
03/26/24, 5228.85, 5235.16, 5203.42, 5203.58
03/25/24, 5219.52, 5229.09, 5216.09, 5218.19
03/22/24, 5242.48, 5246.09, 5229.87, 5234.18
03/21/24, 5253.43, 5261.10, 5240.66, 5241.53
03/20/24, 5181.69, 5226.19, 5171.55, 5224.62
03/19/24, 5139.09, 5180.31, 5131.59, 5178.51
03/18/24, 5154.77, 5175.60, 5145.47, 5149.42
03/15/24, 5123.31, 5136.86, 5104.35, 5117.09
03/14/24, 5175.14, 5176.85, 5123.30, 5150.48
03/13/24, 5173.49, 5179.14, 5151.88, 5165.31
03/12/24, 5134.30, 5179.87, 5114.48, 5175.27
03/11/24, 5111.96, 5124.66, 5091.14, 5117.94
03/08/24, 5164.46, 5189.26, 5117.50, 5123.69
03/07/24, 5132.38, 5165.62, 5128.21, 5157.36
03/06/24, 5108.03, 5127.97, 5092.22, 5104.76
03/05/24, 5110.52, 5114.54, 5056.82, 5078.65
03/04/24, 5130.99, 5149.67, 5127.18, 5130.95
03/01/24, 5098.51, 5140.33, 5094.16, 5137.08
02/29/24, 5085.36, 5104.99, 5061.89, 5096.27
02/28/24, 5067.20, 5077.37, 5058.35, 5069.76
02/27/24, 5074.60, 5080.69, 5057.29, 5078.18
02/26/24, 5093.00, 5097.66, 5068.91, 5069.53
02/23/24, 5100.92, 5111.06, 5081.46, 5088.80
02/22/24, 5038.83, 5094.39, 5038.83, 5087.03
02/21/24, 4963.03, 4983.21, 4946.00, 4981.80
02/20/24, 4989.32, 4993.71, 4955.02, 4975.51
02/16/24, 5031.13, 5038.70, 4999.52, 5005.57
02/15/24, 5003.14, 5032.72, 4999.44, 5029.73
02/14/24, 4976.44, 5002.52, 4956.45, 5000.62
02/13/24, 4967.94, 4971.30, 4920.31, 4953.17
02/12/24, 5026.83, 5048.39, 5016.83, 5021.84
02/09/24, 5004.17, 5030.06, 5000.34, 5026.61
02/08/24, 4995.16, 5000.40, 4987.09, 4997.91
02/07/24, 4973.05, 4999.89, 4969.05, 4995.06
02/06/24, 4950.16, 4957.77, 4934.88, 4954.23
02/05/24, 4957.19, 4957.19, 4918.09, 4942.81
02/02/24, 4916.06, 4975.29, 4907.99, 4958.61
02/01/24, 4861.11, 4906.97, 4853.52, 4906.19
01/31/24, 4899.19, 4906.75, 4845.15, 4845.65
01/30/24, 4925.89, 4931.09, 4916.27, 4924.97
01/29/24, 4892.95, 4929.31, 4887.40, 4927.93
01/26/24, 4888.91, 4906.69, 4881.47, 4890.97
01/25/24, 4886.66, 4898.15, 4869.34, 4894.16
01/24/24, 4888.56, 4903.68, 4865.94, 4868.55
01/23/24, 4856.80, 4866.48, 4844.37, 4864.60
01/22/24, 4853.42, 4868.41, 4844.05, 4850.43
01/19/24, 4796.28, 4842.07, 4785.87, 4839.81
01/18/24, 4760.10, 4785.79, 4740.57, 4780.94
01/17/24, 4739.13, 4744.23, 4714.82, 4739.21
01/16/24, 4772.35, 4782.34, 4747.12, 4765.98
01/12/24, 4791.18, 4802.40, 4768.98, 4783.83
01/11/24, 4792.13, 4798.50, 4739.58, 4780.24
01/10/24, 4759.94, 4790.80, 4756.20, 4783.45
01/09/24, 4741.93, 4765.47, 4730.35, 4756.50
01/08/24, 4703.70, 4764.54, 4699.82, 4763.54
01/05/24, 4690.57, 4721.49, 4682.11, 4697.24
01/04/24, 4697.42, 4726.78, 4687.53, 4688.68
01/03/24, 4725.07, 4729.29, 4699.71, 4704.81
01/02/24, 4745.20, 4754.33, 4722.67, 4742.83
12/29/23, 4782.88, 4788.43, 4751.99, 4769.83
12/28/23, 4786.44, 4793.30, 4780.98, 4783.35
12/27/23, 4773.45, 4785.39, 4768.90, 4781.58
12/26/23, 4758.86, 4784.72, 4758.45, 4774.75
12/22/23, 4753.92, 4772.94, 4736.77, 4754.63
12/21/23, 4724.29, 4748.71, 4708.35, 4746.75
12/20/23, 4764.73, 4778.01, 4697.82, 4698.35
12/19/23, 4743.72, 4768.69, 4743.72, 4768.37
12/18/23, 4725.58, 4749.52, 4725.58, 4740.56
12/15/23, 4714.23, 4725.53, 4704.69, 4719.19
12/14/23, 4721.04, 4738.57, 4694.34, 4719.55
12/13/23, 4646.20, 4709.69, 4643.23, 4707.09
12/12/23, 4618.30, 4643.93, 4608.09, 4643.70
12/11/23, 4593.39, 4623.71, 4593.39, 4622.44
12/08/23, 4576.20, 4609.23, 4574.06, 4604.37
12/07/23, 4568.84, 4590.92, 4565.22, 4585.59
12/06/23, 4586.23, 4590.74, 4546.50, 4549.34
12/05/23, 4557.25, 4578.56, 4551.68, 4567.18
12/04/23, 4564.37, 4572.37, 4546.72, 4569.78
12/01/23, 4559.43, 4599.39, 4554.71, 4594.63
11/30/23, 4554.87, 4569.89, 4537.24, 4567.80
11/29/23, 4571.84, 4587.64, 4547.15, 4550.58
11/28/23, 4545.55, 4568.14, 4540.51, 4554.89
11/27/23, 4554.86, 4560.52, 4546.32, 4550.43
11/24/23, 4555.84, 4560.31, 4552.80, 4559.34
11/22/23, 4553.04, 4568.43, 4545.05, 4556.62
11/21/23, 4538.77, 4542.14, 4525.51, 4538.19
11/20/23, 4511.70, 4557.11, 4510.36, 4547.38
11/17/23, 4509.55, 4520.12, 4499.66, 4514.02
11/16/23, 4497.08, 4511.99, 4487.83, 4508.24
11/15/23, 4505.30, 4521.17, 4495.31, 4502.88
11/14/23, 4458.97, 4508.67, 4458.97, 4495.70
11/13/23, 4406.66, 4421.76, 4393.82, 4411.55
11/10/23, 4364.15, 4418.03, 4353.34, 4415.24
11/09/23, 4391.41, 4393.40, 4343.94, 4347.35
11/08/23, 4384.37, 4391.20, 4359.76, 4382.78
11/07/23, 4366.21, 4386.26, 4355.41, 4378.38
11/06/23, 4364.27, 4372.21, 4347.53, 4365.98
11/03/23, 4334.23, 4373.62, 4334.23, 4358.34
11/02/23, 4268.26, 4319.72, 4268.26, 4317.78
11/01/23, 4201.27, 4245.64, 4197.74, 4237.86
10/31/23, 4171.33, 4195.55, 4153.12, 4193.80
10/30/23, 4139.39, 4177.47, 4132.94, 4166.82
10/27/23, 4152.93, 4156.70, 4103.78, 4117.37
10/26/23, 4175.99, 4183.60, 4127.90, 4137.23
10/25/23, 4232.42, 4232.42, 4181.42, 4186.77
10/24/23, 4235.79, 4259.38, 4219.43, 4247.68
10/23/23, 4210.40, 4255.84, 4189.22, 4217.04
10/20/23, 4273.85, 4276.56, 4223.03, 4224.16
10/19/23, 4321.36, 4339.54, 4269.69, 4278.00
10/18/23, 4357.35, 4364.20, 4303.84, 4314.60
10/17/23, 4345.23, 4393.57, 4337.54, 4373.20
10/16/23, 4342.37, 4383.33, 4342.37, 4373.63
10/13/23, 4360.49, 4377.10, 4311.97, 4327.78
10/12/23, 4380.94, 4385.85, 4325.43, 4349.61
10/11/23, 4366.59, 4378.64, 4345.34, 4376.95
10/10/23, 4339.75, 4385.46, 4339.64, 4358.24
10/09/23, 4289.02, 4341.73, 4283.79, 4335.66
10/06/23, 4234.79, 4324.10, 4219.55, 4308.50
10/05/23, 4259.31, 4267.13, 4225.91, 4258.19
10/04/23, 4233.83, 4268.50, 4220.48, 4263.75
10/03/23, 4269.75, 4281.15, 4216.45, 4229.45
10/02/23, 4284.52, 4300.58, 4260.21, 4288.39
09/29/23, 4328.18, 4333.15, 4274.86, 4288.05
09/28/23, 4269.65, 4317.27, 4264.38, 4299.70
09/27/23, 4282.63, 4292.07, 4238.63, 4274.51
09/26/23, 4312.88, 4313.01, 4265.98, 4273.53
09/25/23, 4310.62, 4338.51, 4302.70, 4337.44
09/22/23, 4341.74, 4357.40, 4316.49, 4320.06
09/21/23, 4374.36, 4375.70, 4329.17, 4330.00
09/20/23, 4452.81, 4461.03, 4401.38, 4402.20
09/19/23, 4445.41, 4449.85, 4416.61, 4443.95
09/18/23, 4445.13, 4466.36, 4442.11, 4453.53
09/15/23, 4497.98, 4497.98, 4447.21, 4450.32
09/14/23, 4487.78, 4511.99, 4478.69, 4505.10
09/13/23, 4462.65, 4479.39, 4453.52, 4467.44
09/12/23, 4473.27, 4487.11, 4456.83, 4461.90
09/11/23, 4480.98, 4490.77, 4467.89, 4487.46
09/08/23, 4451.30, 4473.53, 4448.38, 4457.49
09/07/23, 4434.55, 4457.81, 4430.46, 4451.14
09/06/23, 4490.35, 4490.35, 4442.38, 4465.48
